Timestamp                       Thread     Type        Activity             PID    TTL  
2025-07-17 13:52:59.000000+1000 0x0        Timesync    0x0                  0      0    === system boot: 2A0979B3-BF72-4B36-89A2-80FE305F0F7B
2025-07-17 13:52:59.000317+1000 0x0        Default     0x0                  0      0    kernel: mem_actual: 0x800000000
 legacy sane_size: 0x7f0000000
2025-07-17 13:52:59.000331+1000 0x0        Default     0x0                  0      0    kernel: PMAP: PCID enabled
2025-07-17 13:52:59.000333+1000 0x0        Default     0x0                  0      0    kernel: PMAP: Supervisor Mode Execute Protection enabled
2025-07-17 13:52:59.000334+1000 0x0        Default     0x0                  0      0    kernel: PMAP: Supervisor Mode Access Protection enabled
2025-07-17 13:52:59.003600+1000 0x0        Default     0x0                  0      0    kernel: Darwin Kernel Version 24.5.0: Tue Apr 22 19:53:26 PDT 2025; root:xnu-11417.121.6~2/RELEASE_X86_64
2025-07-17 13:52:59.011289+1000 0x0        Default     0x0                  0      0    kernel: pmap_startup() delaying init/free of page nums > 0x200000
2025-07-17 13:52:59.022769+1000 0x0        Default     0x0                  0      0    kernel: pmap_startup() init/release time: 11502 microsec
2025-07-17 13:52:59.022771+1000 0x0        Default     0x0                  0      0    kernel: pmap_startup() delayed init/release of 7019819 pages
2025-07-17 13:52:59.022773+1000 0x0        Default     0x0                  0      0    kernel: vm_page_bootstrap: 1124538 free pages, 7231302 wired pages, (up to 7019819 of which are delayed free)
2025-07-17 13:52:59.023050+1000 0x0        Default     0x0                  0      0    kernel: VM boostrap: 89 maps, 153 entries and 128 holes available
2025-07-17 13:52:59.023057+1000 0x0        Default     0x0                  0      0    kernel: Maximum number of VM swap files: 100
2025-07-17 13:52:59.023065+1000 0x0        Default     0x0                  0      0    kernel: kext submap [0x<private> - 0x<private>], kernel text [0x<private> - 0x<private>]
2025-07-17 13:52:59.061385+1000 0x0        Default     0x0                  0      0    kernel: "vm_compressor_mode" is 4
2025-07-17 13:52:59.061435+1000 0x0        Default     0x0                  0      0    kernel: VM bootstrap done: 73 maps, 113 entries and 116 holes left
2025-07-17 13:52:59.067785+1000 0x0        Default     0x0                  0      0    kernel: Long logs support configured: size: 16384
2025-07-17 13:52:59.067799+1000 0x0        Default     0x0                  0      0    kernel: Firehose configured: 16 chunks, 8 io pages
2025-07-17 13:52:59.068826+1000 0x0        Default     0x0                  0      0    kernel: Log queues configured: slot count: 180, per-slot size: 32768, total size: 5898240
2025-07-17 13:52:59.068829+1000 0x0        Default     0x0                  0      0    kernel: OSLog stream configured: stream: 8192 bytes, cache: 2112 bytes
2025-07-17 13:52:59.068830+1000 0x0        Default     0x0                  0      0    kernel: [trap_telemetry] trap_telemetry_init
2025-07-17 13:52:59.068837+1000 0x0        Default     0x0                  0      0    kernel: standard timeslicing quantum is 10000 us
2025-07-17 13:52:59.068838+1000 0x0        Default     0x0                  0      0    kernel: standard background quantum is 2500 us
2025-07-17 13:52:59.068928+1000 0x0        Default     0x0                  0      0    kernel: mig_table_max_displ = 54 mach_kobj_count = 379
2025-07-17 13:52:59.076683+1000 0x0        Default     0x0                  0      0    kernel: TSC Deadline Timer supported and enabled
2025-07-17 13:52:59.559440+1000 0x71       Default     0x0                  0      0    kernel: PMRD: PMTraceWorker 0xae5afbb0d6dd4267
2025-07-17 13:52:59.559490+1000 0x71       Default     0x0                  0      0    kernel: PMRD: changePowerStateWithTagToPriv(ON_STATE, 10001)
2025-07-17 13:52:59.569687+1000 0x77       Default     0x0                  0      0    kernel: (AppleImage4) Darwin Image4 Extension Version 7.0.0: Tue Apr 22 19:44:14 PDT 2025; root:AppleImage4-320.100.22~1926/AppleImage4/RELEASE_X86_64
2025-07-17 13:52:59.573915+1000 0x77       Default     0x0                  0      0    kernel: calling mpo_policy_init for AppleImage4
2025-07-17 13:52:59.575233+1000 0x77       Default     0x0                  0      0    kernel: Security policy loaded: AppleImage4 hooks (AppleImage4)
2025-07-17 13:52:59.578111+1000 0x77       Default     0x0                  0      0    kernel: (AppleMobileFileIntegrity) kern_return_t _initializeAppleMobileFileIntegrity(): signature enforcement disabled by boot-arg
2025-07-17 13:52:59.579151+1000 0x78       Default     0x0                  0      0    kernel: PMRD: power event 7 args 0xae5afbb5a31a92c7 0x0
2025-07-17 13:52:59.579154+1000 0x78       Default     0x0                  0      0    kernel: PMRD: power event 7 args 0xae5afbb5a31aaee7 0x0
2025-07-17 13:52:59.579171+1000 0x78       Default     0x0                  0      0    kernel: PMRD: PowerChangeOverride (OFF_STATE->ON_STATE, f, 0x2) tag 0x20064
2025-07-17 13:52:59.579176+1000 0x78       Default     0x0                  0      0    kernel: PMRD: sysPowerDownHandler message kIOMessageSystemCapabilityChange
2025-07-17 13:52:59.579177+1000 0x78       Default     0x0                  0      0    kernel: PMRD: sysPowerDownHandler cap f -> f (flags 1)
2025-07-17 13:52:59.579191+1000 0x78       Default     0x0                  0      0    kernel: PMRD: sysPowerDownHandler message kIOMessageSystemCapabilityChange
2025-07-17 13:52:59.579191+1000 0x78       Default     0x0                  0      0    kernel: PMRD: sysPowerDownHandler cap f -> f (flags 2)
2025-07-17 13:52:59.579193+1000 0x78       Default     0x0                  0      0    kernel: PMRD: tellChangeUp OFF_STATE->ON_STATE
2025-07-17 13:52:59.579196+1000 0x78       Default     0x0                  0      0    kernel: PMRD: PowerChangeDone: OFF_STATE->ON_STATE
